Name,NetWorth,Country,Source,Rank,Age,Industry,Continent
Sze Man Bok,$2.3 B,China,hygiene products,1362,71,Manufacturing,Asia
Katsumi Tada,$2.3 B,Japan,real estate,1362,75,Real Estate,Asia
Ted Turner,$2.3 B,United States,cable television,1362,82,Media & Entertainment,North America
Jitendra Virwani,$2.3 B,India,real estate,1362,55,Real Estate,Asia
Arkady Volozh,$2.3 B,Russia,search engine,1362,57,Media & Entertainment,Europe and Asia
Lang Walker,$2.3 B,Australia,real estate,1362,75,Real Estate,Australia
Wei Ying-Chiao,$2.3 B,Taiwan,"food, beverages",1362,66,Food & Beverage,Asia
Wu Zhongyi,$2.3 B,China,electronics,1362,47,Technology,Asia
Elaine Wynn,$2.3 B,United States,"casinos, hotels",1362,78,Gambling & Casinos,North America
Xu Chuanhua & family,$2.3 B,China,"chemicals, logistics",1362,86,Manufacturing,Asia
Jerry Yang,$2.3 B,United States,Yahoo,1362,52,Technology,North America
Yang Weidong & family,$2.3 B,China,chemicals,1362,52,Manufacturing,Asia
Barry Zekelman,$2.3 B,Canada,steel,1362,54,Manufacturing,North America
Zhang Xuezheng,$2.3 B,China,telecom,1362,45,Technology,Asia
Zhang Yin,$2.3 B,China,paper manufacturing,1362,64,Manufacturing,Asia
Kostyantin Zhevago,$2.3 B,Ukraine,mining,1362,47,Metals & Mining,Europe
Jose Joao Abdalla Filho,$2.2 B,Brazil,investments,1444,75,Finance & Investments,South America
Abdulla Al Futtaim & family,$2.2 B,United Arab Emirates,"auto dealers, investments",1444,N/A,Automotive,Asia
Ramon Ang,$2.2 B,Philippines,Diversified,1444,67,Food & Beverage,Asia
Bill Austin,$2.2 B,United States,hearing aids,1444,79,Manufacturing,North America
Acharya Balkrishna,$2.2 B,India,consumer goods,1444,48,Food & Beverage,Asia
Richard Barton,$2.2 B,United States,Zillow,1444,53,Real Estate,North America
Edward Bass,$2.2 B,United States,"oil, investments",1444,75,Energy,North America
Thor Bjorgolfsson,$2.2 B,Iceland,investments,1444,54,Diversified,Europe
Nikolai Buinov,$2.2 B,Russia,"oil, gas",1444,53,Energy,Europe and Asia
Bruce Cheng,$2.2 B,Taiwan,electronics,1444,85,Technology,Asia
Chin Jong Hwa,$2.2 B,Taiwan,auto parts,1444,62,Automotive,Asia
Jai Hari & Yadu Hari Dalmia & family,$2.2 B,India,cement,1444,N/A,Manufacturing,Asia
Dermot Desmond,$2.2 B,Ireland,finance,1444,70,Finance & Investments,Europe
K. Dinesh,$2.2 B,India,software services,1444,66,Technology,Asia
"Frank Fertitta, III.",$2.2 B,United States,"casinos, mixed martial arts",1444,59,Sports,North America
Lorenzo Fertitta,$2.2 B,United States,"casinos, mixed martial arts",1444,52,Sports,North America
Maria Franca Fissolo,$2.2 B,Italy,"Nutella, chocolates",1444,86,Food & Beverage,Europe
Serge Godin,$2.2 B,Canada,information technology,1444,71,Technology,North America
Gu Wei,$2.2 B,China,consumer electronics,1444,56,Manufacturing,Asia
Jeffrey Gundlach,$2.2 B,United States,investments,1444,62,Finance & Investments,North America
Guo Jiangang,$2.2 B,China,household appliances,1444,54,Manufacturing,Asia
Carlos Hank Rhon,$2.2 B,Mexico,banking,1444,73,Diversified,North America
Gerry Harvey,$2.2 B,Australia,retail,1444,81,Fashion & Retail,Australia
Huang Guanlin,$2.2 B,China,"textiles, apparel",1444,56,Fashion & Retail,Asia
Huang Wei,$2.2 B,China,real estate,1444,61,Real Estate,Asia
Hui Lin Chit,$2.2 B,China,hygiene products,1444,67,Manufacturing,Asia
Randal J. Kirk,$2.2 B,United States,pharmaceuticals,1444,67,Healthcare,North America
Leo Koguan,$2.2 B,United States,IT provider,1444,66,Technology,North America
Miguel Krigsner,$2.2 B,Brazil,cosmetics,1444,71,Fashion & Retail,South America
Kwek Leng Kee,$2.2 B,Singapore,diversified,1444,66,Diversified,Asia
Thomas Kwok,$2.2 B,Hong Kong,real estate,1444,69,Real Estate,Asia
Lau Cho Kun,$2.2 B,Malaysia,"palm oil, property",1444,85,Diversified,Asia
Jeff Lawson,$2.2 B,United States,software,1444,43,Technology,North America
Max Levchin,$2.2 B,United States,fintech,1444,45,Finance & Investments,North America
Li Guoqing,$2.2 B,China,Petro Fibre,1444,51,Manufacturing,Asia
Li Shuirong,$2.2 B,China,petrochemicals,1444,64,Manufacturing,Asia
Li Yongqing,$2.2 B,China,Petro Firbe,1444,56,Manufacturing,Asia
Liang Xinjun,$2.2 B,China,conglomerate,1444,53,Diversified,Asia
Lin Chang Su-O,$2.2 B,Taiwan,real estate,1444,80,Real Estate,Asia
Lin Fanlian,$2.2 B,China,"energy, real estate",1444,59,Energy,Asia
Scott Lin,$2.2 B,Taiwan,optical components,1444,88,Technology,Asia
Mao Zhongwu,$2.2 B,China,manufacturing,1444,58,Manufacturing,Asia
David McMurtry,$2.2 B,United Kingdom,manufacturing,1444,80,Manufacturing,Europe
Rubens Menin Teixeira de Souza,$2.2 B,Brazil,"home building, banking",1444,65,Diversified,South America
Mi Enhua,$2.2 B,China,retail,1444,63,Fashion & Retail,Asia
Bob Parsons,$2.2 B,United States,web hosting,1444,70,Technology,North America
Catherine Phillips,$2.2 B,Canada,investments,1444,N/A,Finance & Investments,North America
John Phillips,$2.2 B,Canada,investments,1444,70,Finance & Investments,North America
Arvind Poddar,$2.2 B,India,tires,1444,63,Automotive,Asia
Qian Ying,$2.2 B,China,pig breeding,1444,55,Food & Beverage,Asia
Phillip T. (Terry) Ragon,$2.2 B,United States,health IT,1444,71,Technology,North America
Alberto Roemmers,$2.2 B,Argentina,pharmaceuticals,1444,94,Healthcare,South America
Shashi & Ravi Ruia,$2.2 B,India,diversified,1444,N/A,Diversified,Asia
Vlad Shmunis,$2.2 B,United States,cloud technology,1444,60,Technology,North America
Alberto Siccardi & family,$2.2 B,Switzerland,medical devices,1444,76,Healthcare,Europe
Sebastian Siemiatkowski,$2.2 B,Sweden,fintech,1444,39,Finance & Investments,Europe
Salil Singhal,$2.2 B,India,agrochemicals,1444,73,Manufacturing,asia
Dean Solon,$2.2 B,United States,solar systems,1444,56,Energy,North America
Timothy Springer,$2.2 B,United States,biotech,1444,73,Healthcare,North America
Peter Spuhler,$2.2 B,Switzerland,train cars,1444,61,Manufacturing,Europe
Tang Yiu,$2.2 B,Hong Kong,fashion retail,1444,87,Fashion & Retail,asia
Tran Dinh Long,$2.2 B,Vietnam,steel,1444,60,Manufacturing,asia
Anna Katharina Viessmann,$2.2 B,Germany,heating and cooling equipment,1444,N/A,Manufacturing,Europe
David Walentas,$2.2 B,United States,real estate,1444,82,Real Estate,North America
Wu Lanlan & family,$2.2 B,China,packaging,1444,47,Manufacturing,Asia
Wu Yiling,$2.2 B,China,pharmaceuticals,1444,71,Healthcare,Asia
Xiang Wenbo,$2.2 B,China,manufacturing,1444,58,Manufacturing,Asia
Xie Liangzhi & family,$2.2 B,China,biotech,1444,55,Healthcare,Asia
Xu Yuejuan,$2.2 B,China,Petro Fibre,1444,59,Manufacturing,Asia
Shintaro Yamada,$2.2 B,Japan,mobile apps,1444,43,Technology,Asia
Yang Jian,$2.2 B,China,real estate,1444,49,Real Estate,Asia
Gavril Yushvaev,$2.2 B,Russia,"precious metals, real estate",1444,63,Finance & Investments,Europe and Asia
Zhang Jingzhang & family,$2.2 B,China,precision machinery,1444,85,Manufacturing,Asia
Michael Ashcroft,$2.1 B,United Kingdom,security,1517,75,Finance & Investments,Europe
George Bishop,$2.1 B,United States,oil & gas,1517,83,Energy,North America
Julio Bozano,$2.1 B,Brazil,banking,1517,85,Finance & Investments,South America
Herb Chambers,$2.1 B,United States,car dealerships,1517,79,Automotive,North America
Andrew & Peggy Cherng,$2.1 B,United States,restaurants,1517,N/A,Food & Beverage,North America
Jacques D'Amours,$2.1 B,Canada,retail,1517,64,Fashion & Retail,North America
Ray Davis,$2.1 B,United States,pipelines,1517,79,Energy,North America
Diao Zhizhong,$2.1 B,China,software,1517,57,Technology,Asia
Michael Federmann & family,$2.1 B,Israel,"defense, hotels",1517,77,Technology,Asia
William Fisher,$2.1 B,United States,Gap,1517,64,Fashion & Retail,North America
Bernard Fraisse,$2.1 B,France,pharmaceuticals,1517,64,Healthcare,Europe
Fabricio Garcia,$2.1 B,Brazil,retail,1517,43,Fashion & Retail,South America
Flavia Bittar Garcia Faleiros,$2.1 B,Brazil,retail,1517,40,Fashion & Retail,South America
Gordon Getty,$2.1 B,United States,Getty Oil,1517,87,Energy,North America
Philippe Ginestet & family,$2.1 B,France,retail stores,1517,67,Fashion & Retail,Europe
Gong Yingying,$2.1 B,China,health IT,1517,36,Healthcare,Asia
Lutz Mario Helmig,$2.1 B,Germany,hospitals,1517,74,Healthcare,Europe
Ilkka Herlin,$2.1 B,Finland,"elevators, escalators",1517,62,Manufacturing,Europe
Arthur Xiaobo Hong,$2.1 B,China,e-commerce,1517,49,Fashion & Retail,Asia
Hong Feng,$2.1 B,China,smartphones,1517,44,Technology,Asia
Huang Shih Tsai,$2.1 B,Hong Kong,real estate,1517,69,Real Estate,Asia
Jiang Yehua & family,$2.1 B,China,real estate,1517,58,Real Estate,Asia
Keeree Kanjanapas,$2.1 B,Thailand,transportation,1517,70,Real Estate,Asia
Alexander Karp,$2.1 B,United States,software firm,1517,53,Technology,North America
Bruce Karsh,$2.1 B,United States,private equity,1517,65,Finance & Investments,North America
Mustafa Kucuk,$2.1 B,Turkey,fashion retail,1517,57,Fashion & Retail,Europe and Asia
Dominika Kulczyk,$2.1 B,Poland,diversified,1517,43,Finance & Investments,Europe
Philippe Laffont,$2.1 B,United States,hedge fund,1517,53,Finance & Investments,North America
Henry Laufer,$2.1 B,United States,hedge funds,1517,75,Finance & Investments,North America
Frank Laukien,$2.1 B,United States,scientific equipment,1517,61,Manufacturing,North America
Mark Leonard & family,$2.1 B,Canada,software,1517,64,Technology,North America
Li Wanqiang,$2.1 B,China,smartphones,1517,43,Technology,Asia
Li Weiwei,$2.1 B,China,online games,1517,44,Technology,Asia
Lin Chen-hai,$2.1 B,Taiwan,real estate,1517,74,Real Estate,Asia
Lin Yinsun,$2.1 B,China,agribusiness,1517,57,Food & Beverage,Asia
Liu Zhongtian & family,$2.1 B,China,aluminum products,1517,57,Manufacturing,Asia
Daniel Lubetzky,$2.1 B,United States,snack bars,1517,52,Food & Beverage,North America
Prayudh Mahagitsiri,$2.1 B,Thailand,"coffee, shipping",1517,75,Food & Beverage,Asia
Igor Makarov,$2.1 B,Russia,investments,1517,59,Energy,Europe and Asia
Kishore Mariwala,$2.1 B,India,consumer goods,1517,86,Food & Beverage,Asia
Howard Marks,$2.1 B,United States,private equity,1517,74,Finance & Investments,North America
Katarina Martinson,$2.1 B,Sweden,investments,1517,39,Diversified,Europe
Vincent McMahon,$2.1 B,United States,entertainment,1517,75,Sports,North America
David Murdock,$2.1 B,United States,"Dole, real estate",1517,97,Food & Beverage,North America
Vikas Oberoi,$2.1 B,India,real estate,1517,50,Real Estate,Asia
Erik Paulsson & family,$2.1 B,Sweden,"construction, real estate",1517,79,Real Estate,Europe
Roger Penske,$2.1 B,United States,cars,1517,84,Automotive,North America
Florentino Perez,$2.1 B,Spain,construction,1517,74,Construction & Engineering,West Europe
Phil Ruffin,$2.1 B,United States,"casinos, real estate",1517,86,Diversified,North America
Richard Sands,$2.1 B,United States,liquor,1517,70,Food & Beverage,North America
Robert Sands,$2.1 B,United States,liquor,1517,62,Food & Beverage,North America
Dieter Schnabel,$2.1 B,Germany,chemicals,1517,75,Manufacturing,Europe
Christiane Schoeller,$2.1 B,Germany,publishing,1517,N/A,Media & Entertainment,Europe
Jeffrey Talpins,$2.1 B,United States,hedge fund,1517,46,Finance & Investments,North America
Timur Turlov,$2.1 B,Russia,stock brokerage,1517,33,Finance & Investments,Europe and Asia
Sandro Veronesi & family,$2.1 B,Italy,fashion,1517,61,Fashion & Retail,Europe
Wang Chou-hsiong,$2.1 B,Taiwan,footwear,1517,80,Manufacturing,Asia
Wang Minwen,$2.1 B,China,semiconductor,1517,57,Technology,Asia
Weng Xianding,$2.1 B,China,medical devices,1517,59,Healthcare,Asia
Michael Xie,$2.1 B,United States,cybersecurity,1517,52,Technology,North America
Yuan Fugen & family,$2.1 B,China,metal processing,1517,70,Manufacturing,Asia
Zhao Fenggang,$2.1 B,China,batteries,1517,55,Energy,Asia
Zhou Zongwen & family,$2.1 B,China,jewelry,1517,64,Fashion & Retail,Asia
S. Daniel Abraham,$2 B,United States,Slim-Fast,1580,96,Food & Beverage,North America
Isak Andic & family,$2 B,Spain,fashion retail,1580,67,Fashion & Retail,West Europe
Roberto Angelini Rossi,$2 B,Chile,"forestry, mining",1580,72,Diversified,South America
Masaaki Arai,$2 B,Japan,home sales,1580,55,Real Estate,Asia
George Argyros & family,$2 B,United States,"real estate, investments",1580,84,Real Estate,North America
Pavel Baudis,$2 B,Czechia,software,1580,60,Technology,Europe
Anne Beaufour,$2 B,France,pharmaceuticals,1580,57,Healthcare,Europe
Henri Beaufour,$2 B,France,pharmaceuticals,1580,55,Healthcare,Europe
Brett Blundy,$2 B,Australia,"retail, agribusiness",1580,61,Fashion & Retail,Australia
J. Hyatt Brown,$2 B,United States,insurance,1580,83,Finance & Investments,North America
Dai Wenjun,$2 B,China,food,1580,52,Food & Beverage,Asia
Sol Daurella,$2 B,Spain,Coca-Cola bottler,1580,55,Food & Beverage,Asia
John de Mol,$2 B,Netherlands,TV programs,1580,66,Media & Entertainment,Europe
Dou Zhenggang,$2 B,China,"energy, chemicals",1580,67,Diversified,Asia
Glenn Dubin,$2 B,United States,hedge funds,1580,63,Finance & Investments,North America
John Elkann,$2 B,Italy,"FIAT, investments",1580,45,Finance & Investments,Europe
Ibrahim Erdemoglu,$2 B,Turkey,carpet,1580,58,Manufacturing,Europe and Asia
Andy Fang,$2 B,United States,food delivery app,1580,28,Technology,North America
Fang Hongbo,$2 B,China,home appliances,1580,54,Manufacturing,Asia
Kenneth Feld & family,$2 B,United States,live entertainment,1580,72,Media & Entertainment,North America
Walter Frey,$2 B,Switzerland,car dealerships,1580,77,Automotive,Europe
Yasuhiro Fukushima,$2 B,Japan,video games,1580,73,Media & Entertainment,Asia
Dennis Gillings,$2 B,United Kingdom,drug testing,1580,76,Healthcare,Europe
Sam Goi,$2 B,Singapore,frozen foods,1580,74,Food & Beverage,Asia
Bahaa Hariri,$2 B,Lebanon,"real estate, investments",1580,54,Real Estate,Asia
Ilona Herlin,$2 B,Finland,"elevators, escalators",1580,56,Manufacturing,Europe
Jeffery Hildebrand,$2 B,United States,oil,1580,62,Energy,North America
J. Tomilson Hill,$2 B,United States,investments,1580,72,Finance & Investments,North America
Orion Hindawi,$2 B,United States,software,1580,41,Technology,North America
Reid Hoffman,$2 B,United States,LinkedIn,1580,53,Technology,North America
Hou Juncheng,$2 B,China,cosmetics,1580,56,Healthcare,Asia
W. Herbert Hunt,$2 B,United States,oil,1580,92,Energy,North America
George Joseph,$2 B,United States,insurance,1580,99,Finance & Investments,North America
Ke Yunfeng & family,$2 B,China,retailing,1580,54,Healthcare,Asia
Sergei Kolesnikov,$2 B,Russia,building materials,1580,49,Manufacturing,Europe and Asia
Thomas Lee,$2 B,United States,private equity,1580,77,Finance & Investments,North America
Peter Leibinger,$2 B,Germany,machine tools,1580,54,Manufacturing,Europe
Regine Leibinger,$2 B,Germany,machine tools,1580,58,Manufacturing,Europe
Nicola Leibinger-Kammueller,$2 B,Germany,manufacturing,1580,61,Manufacturing,Europe
Solomon Lew,$2 B,Australia,retail,1580,76,Fashion & Retail,Europe
Li Yong,$2 B,China,education,1580,47,Media & Entertainment,Asia
Liu Yachao,$2 B,China,education,1580,40,Service,Asia
Jeffrey Lorberbaum,$2 B,United States,flooring,1580,66,Manufacturing,North America
Jed McCaleb,$2 B,United States,cryptocurrency,1580,46,Finance & Investments,North America
Craig McCaw,$2 B,United States,telecom,1580,71,Telecom,North America
Miao Yongjun,$2 B,China,clinical diagnostics,1580,53,Healthcare,Asia
Robert Miller,$2 B,Canada,electronics components,1580,75,Technology,North America
Charles Munger,$2 B,United States,Berkshire Hathaway,1580,97,Finance & Investments,North America
David Nahmad,$2 B,Monaco,art collection,1580,73,Fashion & Retail,Europe
Jonathan Nelson,$2 B,United States,private equity,1580,64,Finance & Investments,North America
Pierre Karl PÃ©ladeau,$2 B,Canada,media,1580,59,Media & Entertainment,North America
Kevin Plank,$2 B,United States,Under Armour,1580,48,Fashion & Retail,North America
Alberto Prada,$2 B,Italy,luxury goods,1580,67,Fashion & Retail,Europe
Marina Prada,$2 B,Italy,luxury goods,1580,75,Fashion & Retail,Europe
Mahendra Prasad,$2 B,India,pharmaceuticals,1580,81,Healthcare,Asia
Jennifer Pritzker,$2 B,United States,"hotels, investments",1580,70,Finance & Investments,North America
Linda Pritzker,$2 B,United States,"hotels, investments",1580,67,Service,North America
"Joe Rogers, Jr.",$2 B,United States,Waffle House,1580,N/A,Food & Beverage,North America
Igor Rybakov,$2 B,Russia,building materials,1580,48,Manufacturing,Europe and Asia
Sathien Setthasit,$2 B,Thailand,energy drinks,1580,66,Food & Beverage,Asia
Mikhail Shelkov,$2 B,Russia,titanium,1580,52,Metals & Mining,Asia
Shen Xiqiang & family,$2 B,China,chemical,1580,73,Energy,Asia
Thaksin Shinawatra,$2 B,Thailand,investments,1580,71,Finance & Investments,Asia
Martua Sitorus,$2 B,Indonesia,palm oil,1580,61,Manufacturing,Asia
Sylvia Stroeher,$2 B,Germany,cosmetics,1580,65,Fashion & Retail,Europe
Alexander Svetakov,$2 B,Russia,real estate,1580,53,Finance & Investments,Asia
Stanley Tang,$2 B,United States,food delivery app,1580,28,Technology,North America
Tang Xiuguo,$2 B,China,manufacturing,1580,57,Manufacturing,Asia
Alain Taravella,$2 B,France,real estate development,1580,73,Real Estate,Europe
Wichai Thongtang,$2 B,Thailand,investments,1580,74,Real Estate,Asia
Arvind Tiku,$2 B,India,"oil & gas, investments",1580,51,Energy,Asia
Hamdi Ulukaya,$2 B,Turkey,greek yogurt,1580,48,Food & Beverage,Europe and Asia
Georg von Opel,$2 B,Switzerland,"real estate, investments",1580,54,Finance & Investments,Europe
Wang Chaobin,$2 B,China,real estate,1580,65,Real Estate,Asia
Wang Zhenghua,$2 B,China,budget airline,1580,76,Service,Asia
Wei Ing-Chou,$2 B,Taiwan,"food, beverages",1580,67,Food & Beverage,Asia
Horst Wortmann,$2 B,Germany,footwear,1580,79,Fashion & Retail,Europe
Wu Junbao,$2 B,China,education,1580,55,Service,Asia
Wu Kai,$2 B,China,batteries,1580,53,Energy,Asia
Amy Wyss,$2 B,United States,medical equipment,1580,50,Healthcare,North America
Xue Xiangdong & family,$2 B,China,software,1580,62,Technology,Asia
Yan Zhi,$2 B,China,real estate,1580,48,Real Estate,Asia
William Young,$2 B,United States,plastics,1580,80,Manufacturing,North America
Zhang Xuansong,$2 B,China,supermarkets,1580,49,Fashion & Retail,Asia
Noubar Afeyan,$1.9 B,United States,biotech,1664,58,Healthcare,North America
Aziz Akhannouch & family,$1.9 B,Morocco,"petroleum, diversified",1664,60,Diversified,Africa
Joao Alves de Queiroz Filho,$1.9 B,Brazil,pharmaceuticals,1664,68,Diversified,South America
Andrey Andreev,$1.9 B,United Kingdom,online dating,1664,47,Technology,Europe
Felix Baker,$1.9 B,United States,biotech investing,1664,52,Finance & Investments,North America
Julian Baker,$1.9 B,United States,investing,1664,54,Finance & Investments,North America
Lee Bass,$1.9 B,United States,"oil, investments",1664,64,Energy,North America
Andrey Blokh,$1.9 B,Russia,cannabis,1664,57,Manufacturing,Asia
Josef Boquoi & family,$1.9 B,Germany,frozen foods,1664,87,Food & Beverage,Europe
Nicola Bulgari,$1.9 B,Italy,luxury goods,1664,80,Fashion & Retail,Europe
Chen Shiliang,$1.9 B,China,polyester,1664,57,Manufacturing,Asia
Chen Tei-fu,$1.9 B,Taiwan,herbal products,1664,72,Fashion & Retail,Asia
Chung Yong-jin,$1.9 B,South Korea,retail,1664,52,Fashion & Retail,Europe
Thierry Cruanes,$1.9 B,United States,software,1664,53,Technology,North America
Benoit Dageville,$1.9 B,United States,software,1664,54,Technology,North America
Beda Diethelm,$1.9 B,Switzerland,hearing aids,1664,80,Healthcare,Europe
James Dinan,$1.9 B,United States,hedge funds,1664,61,Finance & Investments,North America
Mark Dixon,$1.9 B,United Kingdom,office real estate,1664,61,Real Estate,Europe
Bulent Eczacibasi,$1.9 B,Turkey,"pharmaceuticals, diversified",1664,71,Diversified,Europe and Asia
Fred Ehrsam,$1.9 B,United States,cryptocurrency exchange,1664,32,Finance & Investments,North America
Francois Feuillet,$1.9 B,France,"motorhomes, RVs",1664,72,Automotive,Europe
Robert Fisher,$1.9 B,United States,Gap,1664,67,Fashion & Retail,North America
"William Foley, II.",$1.9 B,United States,â˜…,1664,76,Finance & Investments,North America
Gao Yi & family,$1.9 B,China,pharmaceuticals,1664,52,Healthcare,Asia
Gao Yu,$1.9 B,China,information technology,1664,51,Technology,Asia
Sanjiv Goenka,$1.9 B,India,diversified,1664,60,Diversified,Asia
Surjit Kumar Gupta,$1.9 B,India,electrical equipment,1664,79,Manufacturing,Asia
Yusuf Hamied,$1.9 B,India,pharmaceuticals,1664,84,Healthcare,Asia
Shmuel Harlap,$1.9 B,Israel,automotive,1664,76,Automotive,Asia
Bill Haslam,$1.9 B,United States,gas stations,1664,62,Fashion & Retail,North America
Roberto Hernandez Ramirez,$1.9 B,Mexico,banking,1664,79,Finance & Investments,North America
Huang Jiangji,$1.9 B,Hong Kong,smartphones,1664,N/A,Technology,Asia
Stanley Hubbard,$1.9 B,United States,DirecTV,1664,87,Media & Entertainment,North America
Arthur Irving,$1.9 B,Canada,oil,1664,91,Energy,North America
Hamilton James,$1.9 B,United States,investments,1664,69,Finance & Investments,North America
Jiang Zhaobai,$1.9 B,China,real estate,1664,57,Real Estate,Asia
Ke Jinlong & family,$1.9 B,China,retailing,1664,51,Healthcare,Asia
Ke Kangbao & family,$1.9 B,China,retailing,1664,58,Healthcare,Asia
Michael Kim,$1.9 B,United States,private equity,1664,57,Finance & Investments,North America
Ipek Kirac,$1.9 B,Turkey,diversified,1664,36,Diversified,Europe and Asia
Kurt Krieger,$1.9 B,Germany,furniture retailing,1664,73,Fashion & Retail,Europe
Christopher Kwok,$1.9 B,Hong Kong,real estate,1664,35,Real Estate,Asia
Edward Kwok,$1.9 B,Hong Kong,real estate,1664,40,Real Estate,Asia
Alexis LÃª-QuÃ´c,$1.9 B,United States,cloud computing,1664,46,Technology,North America
Li Guangyu,$1.9 B,China,education,1664,57,Service,Asia
Li Hongjing,$1.9 B,China,auto parts,1664,53,Automotive,Asia
Li Jiaquan,$1.9 B,China,chemicals,1664,57,Manufacturing,Asia
Li Min,$1.9 B,China,semiconductor,1664,55,Technology,Asia
Lin Dingqiang & family,$1.9 B,Hong Kong,real estate,1664,54,Real Estate,Asia
Louise Lindh,$1.9 B,Sweden,investments,1664,41,Diversified,Europe
Yusaku Maezawa,$1.9 B,Japan,online retail,1664,45,Technology,Asia
Anand Mahindra,$1.9 B,India,diversified,1664,65,Diversified,Asia
Willy Michel,$1.9 B,Switzerland,medical devices,1664,74,Healthcare,Europe
Lachhman Das Mittal,$1.9 B,India,tractors,1664,90,Automotive,Asia
Ermirio Pereira de Moraes,$1.9 B,Brazil,diversified,1664,88,Diversified,South America
Maria Helena Moraes Scripilliti,$1.9 B,Brazil,diversified,1664,90,Diversified,South America
Stefan Olsson,$1.9 B,Sweden,diversified,1664,72,Diversified,Europe
Peng Yongdong,$1.9 B,China,real estate,1664,41,Real Estate,Asia
Olivier Pomel,$1.9 B,France,cloud computing,1664,44,Technology,Asia
Larry Robbins,$1.9 B,United States,hedge funds,1664,51,Finance & Investments,North America
Brian Roberts,$1.9 B,United States,Comcast,1664,61,Media & Entertainment,North America
Christopher Rokos,$1.9 B,United Kingdom,hedge fund,1664,50,Finance & Investments,Europe
S.D. Shibulal,$1.9 B,India,software services,1664,66,Technology,Asia
Evgeny (Eugene) Shvidler,$1.9 B,United States,"oil & gas, investments",1664,57,Energy,North America
Frank Slootman,$1.9 B,United States,software,1664,62,Technology,North America
Sergio Stevanato,$1.9 B,Italy,medical packaging,1664,78,Healthcare,Europe
Kevin Systrom,$1.9 B,United States,Instagram,1664,37,Technology,North America
Tan Lili,$1.9 B,China,feed,1664,N/A,Food & Beverage,Asia
David Teoh & family,$1.9 B,Australia,telecom,1664,65,Telecom,Australia
Patrizio Vinciarelli,$1.9 B,United States,electronic components,1664,74,Technology,North America
Todd Wagner,$1.9 B,United States,online media,1664,60,Media & Entertainment,North America
Wan Long,$1.9 B,China,food,1664,80,Food & Beverage,Asia
Wang Jian,$1.9 B,China,healthcare services,1664,67,Technology,Asia
Wang Jilei,$1.9 B,China,logistics,1664,56,Logistics,Asia
Wang Junshi & family,$1.9 B,China,solar energy,1664,72,Manufacturing,Asia
Wei Yin-Chun,$1.9 B,Taiwan,"food, beverages",1664,64,Food & Beverage,Asia
Wei Yin-Heng,$1.9 B,Taiwan,"food, beverages",1664,62,Food & Beverage,Asia
Stephen Winn,$1.9 B,United States,real estate services,1664,74,Real Estate,North America
Gordon Wu,$1.9 B,Hong Kong,real estate,1664,85,Real Estate,Asia
Yang Xuegang,$1.9 B,China,coking,1664,56,Manufacturing,Asia
Yu Huijiao,$1.9 B,China,package delivery,1664,55,Logistics,Asia
Zeng Kaitian,$1.9 B,China,online games,1664,46,Technology,Asia
Changpeng Zhao,$1.9 B,China,cryptocurrency exchange,1664,45,Finance & Investments,Asia
Zhu Xingliang,$1.9 B,China,construction,1664,61,Construction & Engineering,Asia
Zhu Yiwen & family,$1.9 B,China,healthcare,1664,N/A,Healthcare,Asia
Anita Zucker,$1.9 B,United States,chemicals,1664,69,Manufacturing,North America
Mohamed Al Fayed,$1.8 B,Egypt,"retail, investments",1750,92,Fashion & Retail,Africa
Leslie Alexander,$1.8 B,United States,sports team,1750,77,Sports,North America
Joachim Ante,$1.8 B,Germany,game software,1750,38,Technology,Europe
Roman Avdeev,$1.8 B,Russia,"banking, development",1750,53,Finance & Investments,Asia
Arun Bharat Ram,$1.8 B,India,chemicals,1750,80,Manufacturing,Asia
O. Francis Biondi,$1.8 B,United States,hedge funds,1750,56,Finance & Investments,North America
John Bloor,$1.8 B,United Kingdom,"real estate, manufacturing",1750,77,Diversified,Europe
Vladimir Bogdanov,$1.8 B,Russia,oil,1750,69,Energy,Asia
David Booth,$1.8 B,United States,mutual funds,1750,75,Finance & Investments,North America
Cai Mingtong,$1.8 B,China,electronic components,1750,69,Technology,Asia
Yvon Chouinard,$1.8 B,United States,Patagonia,1750,82,Fashion & Retail,North America
Jack Cockwell,$1.8 B,Canada,"real estate, private equity",1750,80,Finance & Investments,North America
Kommer Damen,$1.8 B,Netherlands,shipbuilding,1750,77,Manufacturing,Europe
D. Leopoldo Del Pino,$1.8 B,Spain,construction,1750,58,Construction & Engineering,West Europe
Jamie Dimon,$1.8 B,United States,banking,1750,65,Finance & Investments,North America
Robert Duggan,$1.8 B,United States,pharmaceuticals,1750,76,Healthcare,North America
Faruk Eczacibasi,$1.8 B,Turkey,"pharmaceuticals, diversified",1750,66,Diversified,Europe and Asia
N. Murray Edwards,$1.8 B,Canada,oil & gas,1750,61,Energy,North America
Anthony Eisen,$1.8 B,Australia,fintech,1750,49,Finance & Investments,Australia
Ali Erdemoglu,$1.8 B,Turkey,carpet,1750,61,Manufacturing,Europe and Asia
James France,$1.8 B,United States,"Nascar, racing",1750,76,Sports,North America
Mario Gabelli,$1.8 B,United States,money management,1750,79,Finance & Investments,North America
Reinold Geiger,$1.8 B,Austria,beauty products,1750,73,Fashion & Retail,Australia
Rolf Gerling,$1.8 B,Germany,insurance,1750,66,Finance & Investments,Europe
